Year,ABW,AFG,AFR,AGO,AIA,ALB,AMR,AND,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,EMR,ERI,ESP,EST,ETH,EUR,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLOBAL,GMB,GNB,GNQ,GRC,GRD,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEAR,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VNM,VUT,WB_HI,WB_LI,WB_LMI,WB_UMI,WLF,WPR,WSM,XKX,YEM,ZAF,ZMB,ZWE
1974-01-01,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0,32.0,9.0,0.0,17.0,16.0,3.0,0.0,725.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,125.0,3636.0,1.0,0.0,0.0,28.0,0.0,173.0,3.0,412.0,25859.0,0.0,0.0,50.0,5.0,0.0,303.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,359.0,329.0,107.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,21.0,3.0,0.0,21.0,0.0,0.0,5.0,0.0,0.0,9.0,0.0,17.0,0.0,15.0,2.0,2.0,0.0,15.0,10.0,1148.0,26912.0,0.0,824.0,842.0,0.0,0.0,258.0,26.0,9.0,173.0,0.0,1.0,0.0,0.0,0.0,0.0,263.0,38.0,13.0,6.0,0.0,18.0,0.0,251.0,40.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,28.0,0.0,647.0,0.0,34.0,0.0,15.0,42.0,0.0,10.0,0.0,240.0,0.0,0.0,88.0,129.0,6.0,0.0,0.0,0.0,82.0,0.0,21.0,0.0,1137.0,2.0,121.0,2884.0,0.0,14.0,6.0,155.0,487.0,29.0,0.0,0.0,7.0,5.0,0.0,3.0,487.0,1640.0,0.0,424.0,4.0,0.0,0.0,14.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,561.0,0.0,5.0,0.0,1905.0,0.0,0.0,0.0,0.0,0.0,42.0,33.0,470.0,0.0,0.0,0.0,0.0,3.0,272.0,0.0,2.0,92.0,0.0,418.0,0.0,2848.0,2567.0,34131.0,37209.0,0.0,0.0,0.0,0.0,0.0,503.0,87.0,73.0
1975-01-01,0.0,22.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,22.0,1.0,0.0,33.0,14.0,8.0,21.0,706.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,229.0,4004.0,2.0,0.0,0.0,9.0,0.0,103.0,12.0,428.0,38246.0,432.0,0.0,46.0,2.0,0.0,260.0,0.0,0.0,6.0,1.0,0.0,0.0,3.0,0.0,37.0,0.0,1.0,0.0,299.0,350.0,40.0,584.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,20.0,12.0,0.0,120.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,7.0,0.0,2.0,0.0,2.0,0.0,31.0,6.0,939.0,30057.0,0.0,1556.0,1281.0,0.0,1.0,256.0,27.0,23.0,139.0,0.0,7.0,0.0,0.0,0.0,2.0,337.0,6.0,9.0,0.0,0.0,79.0,0.0,310.0,41.0,0.0,0.0,0.0,18.0,103.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,71.0,0.0,384.0,0.0,0.0,0.0,2.0,42.0,0.0,1.0,0.0,218.0,0.0,0.0,29.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,3138.0,0.0,161.0,1770.0,0.0,11.0,0.0,317.0,382.0,13.0,0.0,0.0,5.0,8.0,0.0,1.0,266.0,431.0,0.0,399.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.0,0.0,3.0,0.0,1934.0,0.0,0.0,0.0,0.0,0.0,25.0,6.0,265.0,0.0,0.0,228.0,0.0,1.0,307.0,0.0,2.0,205.0,0.0,738.0,0.0,2505.0,1760.0,39240.0,50398.0,0.0,0.0,0.0,0.0,51.0,487.0,49.0,0.0
1976-01-01,0.0,35.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,191.0,0.0,0.0,0.0,3.0,5.0,0.0,54.0,5.0,4.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,140.0,5009.0,1.0,0.0,0.0,9.0,0.0,109.0,6.0,491.0,23968.0,0.0,0.0,23.0,2.0,0.0,280.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,88.0,1.0,0.0,0.0,433.0,282.0,47.0,699.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,14.0,2.0,0.0,44.0,1.0,0.0,1.0,0.0,0.0,6.0,2.0,4.0,0.0,1.0,1.0,3.0,0.0,25.0,17.0,962.0,21825.0,0.0,383.0,1027.0,0.0,0.0,202.0,14.0,7.0,145.0,0.0,0.0,0.0,0.0,0.0,3.0,498.0,14.0,48.0,0.0,0.0,19.0,0.0,152.0,30.0,0.0,0.0,0.0,5.0,65.0,0.0,0.0,21.0,0.0,33.0,0.0,0.0,29.0,0.0,1143.0,0.0,0.0,0.0,2.0,42.0,0.0,0.0,30.0,250.0,0.0,0.0,63.0,333.0,0.0,0.0,0.0,1.0,46.0,0.0,6.0,23.0,1722.0,0.0,113.0,3371.0,0.0,88.0,3.0,163.0,674.0,11.0,0.0,0.0,6.0,0.0,0.0,8.0,318.0,750.0,0.0,373.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,393.0,0.0,1.0,0.0,2345.0,0.0,0.0,0.0,0.0,0.0,7.0,20.0,170.0,0.0,35.0,47.0,0.0,0.0,128.0,0.0,0.0,269.0,0.0,2199.0,0.0,2808.0,1974.0,32461.0,35939.0,0.0,0.0,0.0,0.0,346.0,351.0,16.0,10.0
1977-01-01,0.0,480.0,0.0,15.0,0.0,0.0,0.0,0.0,2.0,266.0,0.0,0.0,0.0,7.0,9.0,0.0,8.0,3.0,1.0,11.0,107.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,136.0,5685.0,28.0,0.0,0.0,9.0,0.0,0.0,4.0,554.0,30721.0,0.0,0.0,13.0,0.0,0.0,244.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,6.0,0.0,0.0,389.0,169.0,29.0,573.0,0.0,0.0,4.0,0.0,23.0,0.0,0.0,0.0,20.0,0.0,6.0,3.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,12.0,2.0,2560.0,24396.0,0.0,265.0,1041.0,0.0,0.0,175.0,36.0,57.0,122.0,0.0,64.0,0.0,0.0,0.0,0.0,185.0,18.0,16.0,0.0,0.0,8.0,6.0,145.0,37.0,0.0,0.0,0.0,1.0,65.0,0.0,0.0,1874.0,0.0,20.0,0.0,0.0,0.0,0.0,963.0,0.0,0.0,0.0,242.0,118.0,0.0,1.0,20.0,115.0,0.0,0.0,97.0,1050.0,2.0,0.0,2.0,0.0,60.0,0.0,1.0,40.0,923.0,0.0,180.0,2888.0,0.0,65.0,0.0,167.0,314.0,19.0,0.0,0.0,9.0,0.0,0.0,48.0,90.0,1641.0,0.0,290.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,0.0,5.0,0.0,2290.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,142.0,0.0,136.0,380.0,0.0,0.0,84.0,0.0,0.0,80.0,0.0,2476.0,0.0,1710.0,5351.0,34719.0,44501.0,0.0,0.0,0.0,0.0,116.0,286.0,70.0,5.0
1978-01-01,0.0,2154.0,0.0,219.0,0.0,0.0,0.0,0.0,4.0,267.0,0.0,0.0,0.0,3.0,1.0,0.0,9.0,3.0,3.0,8.0,952.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,45.0,5021.0,20.0,1.0,6.0,24.0,0.0,119.0,4.0,536.0,20084.0,0.0,0.0,72.0,1.0,0.0,175.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,20.0,2.0,0.0,0.0,334.0,108.0,22.0,418.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,36.0,10.0,0.0,2.0,10.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,8.0,3.0,2782.0,26653.0,0.0,2922.0,915.0,0.0,0.0,97.0,20.0,45.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,15.0,12.0,0.0,0.0,34.0,1.0,216.0,13.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,1168.0,0.0,16.0,0.0,0.0,39.0,0.0,323.0,0.0,1.0,0.0,4.0,5.0,0.0,0.0,14.0,88.0,0.0,0.0,52.0,455.0,0.0,0.0,1.0,0.0,171.0,0.0,1.0,11.0,2629.0,0.0,134.0,1389.0,0.0,14.0,1.0,66.0,249.0,4.0,0.0,0.0,3.0,9.0,0.0,4.0,169.0,1816.0,0.0,215.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,407.0,0.0,0.0,0.0,1773.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,93.0,0.0,43.0,0.0,0.0,0.0,76.0,0.0,0.0,39.0,0.0,2446.0,0.0,1569.0,5831.0,36494.0,35039.0,0.0,0.0,0.0,0.0,6.0,203.0,73.0,32.0
1979-01-01,0.0,1496.0,0.0,54.0,0.0,0.0,0.0,0.0,1.0,139.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,4.0,27.0,1134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,4546.0,0.0,0.0,4.0,0.0,0.0,54.0,6.0,344.0,16921.0,0.0,0.0,13.0,1.0,0.0,171.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,267.0,73.0,24.0,317.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,4.0,0.0,5.0,0.0,2.0,0.0,7.0,2.0,3914.0,31345.0,0.0,148.0,994.0,0.0,0.0,46.0,12.0,20.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,2.0,0.0,0.0,0.0,12.0,1.0,101.0,25.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,479.0,0.0,9.0,0.0,0.0,18.0,0.0,764.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,53.0,98.0,0.0,0.0,50.0,274.0,11.0,0.0,1.0,0.0,197.0,0.0,1.0,5.0,5631.0,0.0,119.0,1044.0,0.0,4.0,0.0,70.0,154.0,7.0,0.0,0.0,5.0,8.0,0.0,21.0,121.0,883.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,670.0,0.0,0.0,0.0,2009.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,107.0,0.0,8.0,0.0,0.0,0.0,59.0,0.0,0.0,16.0,0.0,1309.0,0.0,1104.0,3846.0,42757.0,29677.0,0.0,0.0,0.0,0.0,40.0,91.0,16.0,7.0
1980-01-01,0.0,1939.0,8771.0,0.0,0.0,3.0,5570.0,0.0,20.0,86.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,127.0,725.0,1559.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,31.0,4646.0,0.0,0.0,5.0,2.0,8.0,55.0,1.0,253.0,9767.0,0.0,0.0,43.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,411.0,0.0,0.0,187.0,116.0,16.0,333.0,19970.0,0.0,7.0,0.0,142.0,271.0,0.0,0.0,3.0,0.0,1.0,5.0,0.0,40.0,0.0,97164.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,1.0,2.0,2.0,0.0,23.0,6.0,3674.0,39231.0,0.0,139.0,1122.0,0.0,0.0,30.0,13.0,5.0,66.0,0.0,6395.0,0.0,1559.0,1.0,0.0,51.0,1.0,11.0,0.0,0.0,6.0,0.0,37.0,13.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,227.0,0.0,7.0,0.0,0.0,143.0,0.0,830.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,13.0,131.0,0.0,0.0,34.0,165.0,5.0,0.0,0.0,0.0,82.0,0.0,1.0,7.0,14328.0,0.0,185.0,1910.0,0.0,0.0,0.0,18.0,90.0,14.0,0.0,0.0,1.0,12.0,0.0,3.0,99.0,587.0,47354.0,291.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,366.0,0.0,0.0,0.0,1918.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,86.0,0.0,4.0,181.0,0.0,0.0,3.0,0.0,0.0,31.0,0.0,1730.0,0.0,743.0,4859.0,69200.0,22192.0,0.0,15228.0,0.0,0.0,555.0,57.0,12.0,8.0
1981-01-01,0.0,1464.0,2764.0,28.0,0.0,6.0,4748.0,0.0,3.0,79.0,0.0,0.0,0.0,18.0,1.0,0.0,20.0,0.0,1.0,759.0,1342.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,3846.0,9.0,0.0,1.0,1.0,25.0,7.0,2.0,203.0,8481.0,0.0,0.0,24.0,1.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,125.0,114.0,22.0,411.0,19983.0,0.0,4.0,0.0,304.0,224.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,27.0,16.0,74098.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,3507.0,26315.0,0.0,377.0,1393.0,0.0,0.0,34.0,18.0,4.0,47.0,0.0,0.0,0.0,1231.0,24.0,0.0,43.0,1.0,0.0,1.0,0.0,1.0,0.0,36.0,8.0,0.0,1.0,0.0,0.0,38.0,1.0,0.0,836.0,0.0,1.0,0.0,0.0,2.0,0.0,959.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,11.0,15.0,0.0,0.0,27.0,164.0,2.0,0.0,0.0,0.0,20.0,0.0,0.0,10.0,14338.0,1.0,160.0,819.0,0.0,2.0,1.0,37.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,177.0,982.0,33011.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,493.0,0.0,0.0,0.0,794.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,136.0,0.0,160.0,32.0,0.0,0.0,5.0,0.0,0.0,50.0,0.0,2688.0,0.0,610.0,5010.0,48814.0,19310.0,0.0,13368.0,0.0,0.0,284.0,63.0,29.0,7.0
1982-01-01,0.0,1563.0,4618.0,32.0,0.0,2.0,4087.0,0.0,1.0,36.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,3.0,751.0,1860.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,24.0,3297.0,2.0,0.0,0.0,15.0,23.0,12.0,0.0,122.0,6502.0,0.0,0.0,26.0,0.0,0.0,117.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,120.0,71.0,38.0,804.0,12800.0,0.0,0.0,0.0,697.0,208.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,65.0,4.0,60040.0,0.0,0.0,0.0,2.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,26.0,0.0,3285.0,17191.0,0.0,295.0,1260.0,0.0,0.0,19.0,17.0,20.0,30.0,0.0,2.0,0.0,1503.0,2.0,0.0,17.0,15.0,813.0,0.0,0.0,2.0,0.0,22.0,135.0,0.0,0.0,0.0,2.0,48.0,0.0,0.0,1333.0,0.0,0.0,0.0,0.0,2.0,0.0,782.0,0.0,0.0,0.0,18.0,2.0,0.0,0.0,69.0,10.0,0.0,0.0,16.0,1170.0,2.0,0.0,0.0,0.0,111.0,0.0,1.0,19.0,6520.0,0.0,189.0,2140.0,0.0,0.0,0.0,0.0,16.0,14.0,0.0,0.0,2.0,1.0,0.0,5.0,188.0,1008.0,24376.0,100.0,6.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,498.0,0.0,0.0,0.0,1125.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,131.0,0.0,5.0,3.0,0.0,0.0,2.0,0.0,0.0,23.0,0.0,2921.0,0.0,499.0,5878.0,36341.0,16605.0,0.0,13951.0,4.0,0.0,555.0,27.0,19.0,13.0
1983-01-01,0.0,1940.0,4099.0,11.0,0.0,1.0,4023.0,0.0,2.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,3.0,2.0,737.0,3520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,3369.0,0.0,0.0,4.0,1.0,21.0,11.0,1.0,76.0,7227.0,0.0,0.0,54.0,0.0,0.0,127.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,2.0,0.0,124.0,132.0,24.0,994.0,7635.0,0.0,0.0,0.0,354.0,455.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,17.0,86.0,49797.0,0.0,0.0,3.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,1389.0,13776.0,0.0,157.0,1169.0,0.0,0.0,10.0,12.0,13.0,20.0,0.0,2.0,0.0,460.0,0.0,0.0,19.0,1.0,64.0,1.0,0.0,2.0,0.0,26.0,23.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,1988.0,0.0,0.0,0.0,0.0,58.0,0.0,595.0,0.0,0.0,0.0,4.0,26.0,0.0,0.0,31.0,24.0,0.0,0.0,0.0,275.0,4.0,0.0,2.0,0.0,115.0,0.0,4.0,13.0,1402.0,0.0,121.0,1812.0,0.0,0.0,1.0,0.0,36.0,3.0,0.0,0.0,0.0,14.0,0.0,0.0,210.0,156.0,20463.0,162.0,4.0,0.0,0.0,18.0,0.0,206.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,1.0,0.0,1038.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,361.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,21.0,0.0,3487.0,0.0,458.0,6549.0,27039.0,15376.0,0.0,13122.0,0.0,0.0,981.0,29.0,27.0,25.0
