Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
532,WHS3_41,COUNTRY,TGO,AFR,YEAR,Africa,,,1978,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1978,1978-01-01T00:00:00+01:00,1978-12-31T00:00:00+01:00
984,WHS3_41,COUNTRY,PYF,WPR,YEAR,Western Pacific,,,1999,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
1720,WHS3_41,COUNTRY,CZE,EUR,YEAR,Europe,,,1992,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
2303,WHS3_41,COUNTRY,LKA,SEAR,YEAR,South-East Asia,,,1986,,,,,,,3,3.0,,,,2025-07-14T16:36:19.017+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
3366,WHS3_41,WORLDBANKINCOMEGROUP,WB_LMI,,YEAR,,,,2013,,,,,,,3518,3518.0,,,,2025-07-14T16:36:19.017+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
3825,WHS3_41,COUNTRY,TKL,WPR,YEAR,Western Pacific,,,1993,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
7871,WHS3_41,COUNTRY,CUB,AMR,YEAR,Americas,,,2003,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
8503,WHS3_41,COUNTRY,JAM,AMR,YEAR,Americas,,,1983,,,,,,,12,12.0,,,,2025-07-14T16:36:19.017+02:00,1983,1983-01-01T00:00:00+01:00,1983-12-31T00:00:00+01:00
9093,WHS3_41,COUNTRY,NIC,AMR,YEAR,Americas,,,2011,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
9643,WHS3_41,COUNTRY,CRI,AMR,YEAR,Americas,,,2010,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
10266,WHS3_41,COUNTRY,MRT,AFR,YEAR,Africa,,,1982,,,,,,,2,2.0,,,,2025-07-14T16:36:19.017+02:00,1982,1982-01-01T00:00:00+01:00,1982-12-31T00:00:00+01:00
11396,WHS3_41,COUNTRY,MOZ,AFR,YEAR,Africa,,,2003,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
11490,WHS3_41,COUNTRY,ASM,WPR,YEAR,Western Pacific,,,1983,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1983,1983-01-01T00:00:00+01:00,1983-12-31T00:00:00+01:00
14340,WHS3_41,COUNTRY,BGR,EUR,YEAR,Europe,,,2009,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
15540,WHS3_41,COUNTRY,GBR,EUR,YEAR,Europe,,,1990,,,,,,,2,2.0,,,,2025-07-14T16:36:19.017+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
16388,WHS3_41,COUNTRY,CHE,EUR,YEAR,Europe,,,2000,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
18216,WHS3_41,COUNTRY,JOR,EMR,YEAR,Eastern Mediterranean,,,2016,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
18422,WHS3_41,COUNTRY,BMU,AMR,YEAR,Americas,,,2022,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
20419,WHS3_41,COUNTRY,COM,AFR,YEAR,Africa,,,2024,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
